Unnamed: 0,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
20,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,Imposible,4cuGZb0iFyHtwaSKdKrJkF,2019-02-01,74,0.7829999999999999,0.738
21,Anuel Aa,2R21vXR83lH98kGeO99Y66,Ella Quiere Beber - Remix,2cYnZNzFRFK0H7vSNxPsUq,2018-11-02,91,0.7509999999999999,0.665
22,Becky G,4obzFoKoKRHIphyHzJ35G3,Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,2018-08-02,86,0.772,0.732
23,Bad Bunny,4q3ewBCX7sLwd24euuV69X,NI BIEN NI MAL,278kSqsZIiYp8p3QjYAqa8,2018-12-23,89,0.826,0.449
24,Cauty,2QUvtLq6oQaX0LNsYY2fas,Ta To Gucci (Remix),7kuRvjpeUcn6qNV9IBXC2C,2018-12-07,84,0.73,0.648
25,Karol G,790FomKkXshlbRYZFtlgla,Créeme,1mT47pKLXUwPYGwB91GcNz,2018-11-02,87,0.715,0.872
26,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Bubalu,7dNwJbsT0sg1le5kVugGJb,2018-11-06,88,0.8,0.355
27,Modo Diablo,0ulX41eWF9mhfeAhOu4EU0,"TRAP.N.EXPORT (feat. Duki, Ysy A & Neo Pistea)",3aozFlnbP7zhcJKi9O0FUz,2019-02-08,70,0.82,0.741
28,Kevin Roldan,1RBzGO6Nm3uyhUSxP7EDWO,PPP,1DcxnVNFAyVl2sDQ646pXS,2018-09-07,84,0.7859999999999999,0.65
29,Amenazzy,6kq4GHwUcUojGIu0ziSNXf,Baby,2IA8cFA46DkjgbsRG7kKbp,2018-12-21,84,0.7,0.71
30,Reik,0vR2qb8m9WHeZ5ByCbimq2,Amigos Con Derechos,2zDj4WjbNDmrRL6Z4YjjCA,2018-08-31,85,0.6859999999999999,0.807
31,6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,BEBE (feat. Anuel Aa),4KkUjFkcQvGvWekl8RATDn,2018-11-27,87,0.635,0.902
32,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Solo de Mi,4uP3pUP18ennmz0tb3GphR,2018-12-23,81,0.743,0.73
33,Damas Gratis,3YeBTR1Q1rUxKguz4jP6UV,Me Vas a Extrañar - En Vivo,3CACzG9I3AoKUKA3ODE5zW,2018-09-07,75,0.419,0.809
34,FMK,0dUyjgCyjfj5eMx6bX2TWf,Parte de Mi (feat. Lit Killah),4OocfNloIRk77ncIKBdYwb,2019-02-07,70,0.615,0.47100000000000003
35,Lit Killah,1vqR17Iv8VFdzure1TAXEq,Tan Bien (feat. Agus Padilla),43Q1jBoHh3pQkh3Oy7TA1g,2018-11-29,74,0.784,0.7609999999999999
36,Bhavi,7fT2Me47PQ8T7954PKrcwR,No Lo Entiendo,2pfV8fZZdLRsZYatVGKlUq,2019-01-24,71,0.87,0.542
37,Brytiago,00XhexlJEXQstHimpZN910,Asesina - Remix,59PYgzOiOjGDzjDT5N5oOX,2018-10-31,86,0.825,0.69
38,ChocQuibTown,6tkyhGe9hGI3Lcfo4gVh6Z,Pa Olvidarte (feat. Manuel Turizo) - Remix,2ktoFujjJtantyMoVdBJlX,2019-02-01,82,0.7240000000000001,0.7909999999999999
39,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,Sola,675w3ACw5xZR3ODhUJlEVN,2018-11-09,81,0.7040000000000001,0.706
40,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,89,0.735,0.638
41,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Chica Paranormal,7zAGi1cps7yYhAajGXlFTH,2018-07-24,78,0.84,0.596
42,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,2019-02-08,98,0.726,0.545
43,Maluma,1r4hJ1h58CWwUQe3MxPuau,Mala Mía,62o8KoI44JfN7aYxgTnPvh,2018-08-10,84,0.7490000000000001,0.752
44,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Vaina Loca,48zFZh27QU5qsrBjn4C2FA,2018-08-24,88,0.754,0.805
45,Dalex,0KPX4Ucy9dk82uj4GpKesn,Pa Mí - Remix,224EVTFiLsdQignUFLvDeH,2019-02-07,76,0.688,0.62
46,Jowell & Randy,4IMAo2UQchVFyPH24PAjUs,Dile la Verdad,6qP73DRFGojLuIk1siIhNE,2019-01-11,84,0.8859999999999999,0.701
47,Queen,1dfeR4HaWDbWqFHLkxsg1d,Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,1975-11-21,80,0.397,0.396
48,TINI,7vXDAI8JwjW531ouMGbfcp,Quiero Volver,5NrIX1ozc9LGt19ISgPDIY,2018-10-12,72,0.672,0.83
49,Karol G,790FomKkXshlbRYZFtlgla,Culpables,6q8Lb50EtqNeeJXXe8mMAH,2018-09-14,86,0.728,0.8009999999999999
0,Tropkillaz,5bzWtCkjIAMgN93gLt56SO,Bola Rebola,1OUPXna2MCgAt3VNmXJBtg,2019-02-22,78,0.8340000000000001,0.777
1,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,93,0.5720000000000001,0.385
2,MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ,Vamos pra Gaiola,7FiIQXpIeLo3ITfGGpb8PB,2019-01-11,81,0.872,0.971
3,Marília Mendonça,1yR65psqiazQpeM79CcGh8,Bebi Liguei - Ao Vivo,3RbXsVQr4jeTxvT35Hssq3,2019-02-22,57,0.603,0.804
4,Felipe Araújo,47uyFQHOD02S0lj9ptRpoB,Atrasadinha - Ao Vivo,5EKHbW7mXcAR4hCyS3YXjb,2018-09-20,84,0.6759999999999999,0.8440000000000001
5,Dennis DJ,6xlRSRMLgZbsSNd0BMobwy,Agora é Tudo Meu,5yH8pYxNckOU1cxfPsMIaz,2018-12-07,84,0.848,0.9329999999999999
6,Anitta,7FNnA9vBm6EKceENgCGRMb,Terremoto,7G2XZhDNHo7SSDWSVxC0UT,2019-02-01,83,0.8909999999999999,0.805
7,Mc Livinho,7me0S5Z40qVWj3gzyK8aC3,Hoje Eu Vou Parar Na Gaiola,0IQCOAw9ZAI6WnXIrl481F,2018-10-17,82,0.65,0.361
8,Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,Notificação Preferida - Ao Vivo,2qkNnJvQvhLiZ63X1L3eFz,2018-05-18,80,0.39799999999999996,0.838
9,Márcia Fellipe,3OxZ4asD88P1lJJmLcXz4K,Quem Me Dera,2lAyctg5FocS67eksHoyIg,2018-12-12,68,0.815,0.723
10,Melim,6uYrXgVHctAJtIdSODcyLJ,Ouvi Dizer,1qCLx3nX25NuhfPjM5E1qV,2018-06-08,81,0.6409999999999999,0.614
11,MC L da Vinte,0lHB0Qc4pmD5RkTLlHeESo,Parado no Bailão,3Hb9kUdm4yf839Fle4RIdT,2018-07-23,83,0.828,0.599
12,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,Infarto,0XEJ7eph2IWFYZc73Jm3n2,2018-11-05,80,0.613,0.794
13,Gabriel Diniz,3WQ1s2QFvL6crxBvrVhwzj,Jenifer,7wMAgaPiKzTNxpDWu2BPfk,2019-02-01,63,0.768,0.934
14,Simone & Simaria,0MInKJqZscEeNc5K3K0mkE,Qualidade De Vida - Ao Vivo,5Wmg5LPPJnbMsKA9fthM3l,2019-01-09,81,0.8320000000000001,0.833
15,Jerry Smith,6OpOg5HVCc8xVf7OVrd5Fk,Quem Tem o Dom,2mJOngYlqgfdLMBSxPcJL3,2019-01-18,74,0.807,0.782
16,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,92,0.7709999999999999,0.32
17,Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,Vingança - Ao Vivo,7KdcbYcVF8LkQeQcTYOixJ,2018-09-14,80,0.608,0.7290000000000001
