,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
40,Hamza,5gs4Sm2WQUkcGeikMcVHbh,Paradise,6hEPJVBVeAe3Hc8pCbT7lI,2019-03-01,56,0.792,0.582
41,Gaullin,1aQwKFn00nswXRDUDipm0K,Moonlight,0A5gdlrpAuQqZ2iFgnqBFW,2018-09-07,78,0.813,0.761
42,Heuss L'enfoiré,3YwqjMyrRfuixi2pbgTGCE,Aristocrate,7gNlaZaMIjRUfnAYd9Dvmt,2019-01-25,70,0.935,0.613
43,Heuss L'enfoiré,3YwqjMyrRfuixi2pbgTGCE,L'enfoiré,2S8wxDFED8PAo4ZqhyMRh2,2019-01-25,72,0.652,0.621
44,Sam Smith,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-01-11,96,0.741,0.52
45,Alonzo,2z2TRvloJt4EfUNQp9rHAi,Assurance vie,09MnN26UeC2MsFDIYzcvtw,2019-02-28,54,0.715,0.723
46,RK,2s7fZ34RK8RUJQ2ewsh6I5,Rédemption,2ZyJthCTd4r7yLIWuIxFcb,2019-02-07,71,0.846,0.839
47,Dabs,0VF7XcB73fBSIfX9hOTVij,Tes rêves (feat. Maes),4sd8QNsJNd9eicIN1sMqlZ,2019-03-01,51,0.513,0.499
48,Maes,6L34dW6SKMSDaGIfYDU19j,Billets verts,3uTNli5uz5rNOqD6qZFi8L,2018-11-29,66,0.664,0.573
49,Kendji Girac,4IS4EyXNmiI2w5SRCjMtEF,Tiago,63eflEIBAF5VmO5AdVuZF7,2018-08-31,71,0.55,0.543
