,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
39,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,needy,1TEL6MlSSVLSdhOSddidlJ,2019-02-08,92,0.647,0.309
40,Lil Skies,7d3WFRME3vBY2cgoP38RDo,Bad Girls (feat. Gucci Mane),0hCHNYL8ApQCGNwJrYN1FY,2019-03-01,71,0.771,0.761
41,Post Malone,246dkjvS1zLTtiykXe5h60,Better Now,7dt6x5M1jzdTEt8oCbisTK,2018-04-27,92,0.68,0.563
42,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Hear Me Calling,5UYK9MervBCROg8AHNeEIy,2019-03-01,74,0.648,0.701
43,2 Chainz,17lzZA2AlOHwCwFALHttmp,Whip (feat. Travis Scott),6Z4rmc0uujCpl8yXe3yjgI,2019-03-01,72,0.793,0.399
44,Flipp Dinero,2HUwZ0kumzCSlhFcjFZfpp,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,2018-09-04,90,0.792,0.743
45,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,Moonlight,0JP9xo3adEtGSdUEISiszL,2018-03-16,91,0.921,0.537
46,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,Nights Like This (feat. Ty Dolla $ign),6ZRuF2n1CQxyxxAAWsKJOy,2019-02-22,80,0.61,0.725
47,Calboy,0HkcYmcjrBR3SCw9Ld5VZk,Envy Me,05t7JMip6JrLuSrMV5yYjX,2018-12-13,84,0.556,0.481
48,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,Legacy (feat. Travis Scott & 21 Savage),7pMRoGLEJuFM2wl5pt0R99,2019-02-22,83,0.844,0.513
49,Queen,1dfeR4HaWDbWqFHLkxsg1d,Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,1975-11-21,81,0.397,0.396
