,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
39,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,2018-12-14,92,0.861,0.603
40,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,2017-10-27,68,0.752,0.764
41,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,NASA,4SPu0Ql902hTVXkBoNIYtq,2018-02-07,73,0.597,0.458
42,Cardi B,4kYSro6naA4h99UJvo89HB,Please Me,0PG9fbaaHFHfre2gUVo7AN,2019-02-15,88,0.747,0.57
43,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Grace,4eQBL0cuF3ismYCzBff2Ii,2018-09-21,77,0.733,0.533
44,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Undecided,7uiBocndm12aKbsdnQ3Scx,2019-01-04,86,0.441,0.527
45,Tyga,5LHRHt1k9lMyONurDHEdrp,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,2018-05-16,89,0.884,0.559
46,21 Savage,1URnnhqYAYcrqrcwql10ft,a lot,2t8yVaLvJ0RenpXUIAC52d,2018-12-21,92,0.837,0.636
47,Dave,6Ip8FS7vWT1uKkJSweANQK,Funky Friday,01IQ4aQgOf0Kkq3a273hmO,2018-10-04,76,0.975,0.535
48,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,imagine,39LmTF9RgyakzSYX8txrow,2019-02-08,89,0.709,0.474
49,Little Mix,3e7awlrlDSwF3iM0WBjGMp,Think About Us (feat. Ty Dolla $ign),18n2GdCpsHYzkbMKPavE7Y,2019-01-25,76,0.511,0.795
