,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
39,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Be Alright,3EPXxR3ImUwfayaurPi3cm,2018-06-29,91,0.553,0.586
40,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Hope,4BiiOzZCrXEzHRLYcYFiD5,2018-12-14,89,0.773,0.699
41,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,when the party's over,14JzyD6FlBD5z0wV5P07YI,2018-10-17,92,0.498,0.104
42,Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,2018-10-05,92,0.729,0.625
43,Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,2018-06-15,83,0.851,0.541
44,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,2018-06-15,84,0.506,0.693
45,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,Legacy (feat. Travis Scott & 21 Savage),7pMRoGLEJuFM2wl5pt0R99,2019-02-22,76,0.844,0.513
46,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,lovely,1NJcg626wLln4pGHpiV7mf,2017-08-11,63,0.351,0.296
47,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,2018-08-17,90,0.781,0.768
48,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,11 Minutes (with Halsey feat. Travis Barker),4mGdjNMo0RonTlOEb7cYg4,2019-02-14,83,0.464,0.852
49,Cardi B,4kYSro6naA4h99UJvo89HB,Money,2GGMabyHXnJmjY6CXhhB2e,2018-10-23,89,0.95,0.59
